Period as of,Assets,Liabilities,Equity,Paid-up Capital,Revenue,Profit (Loss) from Other Activities,Net Profit,EPS (Baht),ROA (%),ROE (%),Net Profit Margin (%),Symbol
Y/E 2020 31 Dec 2020,3130.43,1506.84,1536.18,333.8,1293.28,263.07,271.17,0.41,10.34,18.52,20.03,UAC
Y/E 2021 31 Dec 2021,3217.4,1446.14,1639.3,333.8,1520.65,217.36,246.81,0.37,9.19,15.54,15.41,UAC
9M/2022 30 Sep 2022,3482.17,1750.75,1595.89,333.8,1314.42,83.23,84.59,0.13,5.12,8.62,5.29,UAC
Y/E 2018 31 Dec 2018,658.01,157.91,500.11,250.0,701.15,1.81,-28.02,-1.12,-3.29,-5.31,-4.0,UP
Y/E 2019 31 Dec 2019,628.05,163.3,464.75,250.0,713.17,0.42,-34.97,-1.4,-4.82,-7.25,-4.9,UP
Y/E 2020 31 Dec 2020,629.7,150.9,478.8,250.0,547.46,0.16,-26.05,-1.04,-4.14,-5.52,-4.76,UP
Y/E 2021 31 Dec 2021,617.32,121.0,496.32,250.0,591.63,-1.86,-0.28,-0.01,-0.03,-0.06,-0.05,UP
9M/2022 30 Sep 2022,672.6,134.44,538.16,250.0,507.88,-0.8,34.23,1.37,4.26,5.36,6.74,UP
Y/E 2018 31 Dec 2018,9115.71,5706.18,3409.53,399.44,7817.3,74.86,17.98,0.05,1.15,0.52,0.23,AJ
Y/E 2019 31 Dec 2019,8672.14,5076.32,3595.82,399.44,6963.4,120.49,236.17,0.59,3.8,6.74,3.39,AJ
Y/E 2020 31 Dec 2020,9533.82,4847.51,4686.3,440.0,7330.54,47.41,532.25,1.33,6.72,12.85,7.26,AJ
Y/E 2021 31 Dec 2021,10370.8,5483.68,4761.09,440.0,9444.46,-177.63,428.62,0.97,4.99,9.07,4.42,AJ
9M/2022 30 Sep 2022,12644.72,7620.72,4714.27,440.0,7453.7,17.48,224.82,0.51,4.2,9.06,2.98,AJ
Y/E 2018 31 Dec 2018,6780.49,1237.43,5543.06,432.0,6494.8,23.28,719.67,16.66,13.62,13.31,11.08,ALUCON
Y/E 2019 31 Dec 2019,6610.62,1005.57,5605.06,432.0,5643.66,-28.87,532.12,12.32,9.84,9.55,9.43,ALUCON
Y/E 2020 31 Dec 2020,6799.06,836.83,5962.23,432.0,5040.71,31.67,669.0,15.49,12.36,11.57,13.27,ALUCON
Y/E 2021 31 Dec 2021,7143.0,885.49,6257.52,432.0,5879.84,92.65,704.22,16.3,12.63,11.53,11.98,ALUCON
9M/2022 30 Sep 2022,7363.35,973.92,6389.44,432.0,5455.74,123.06,563.92,13.05,11.31,10.84,10.34,ALUCON
Y/E 2018 31 Dec 2018,14728.98,9571.23,4793.99,3472.22,10521.82,-,496.17,0.91,5.81,13.26,4.98,BGC
Y/E 2019 31 Dec 2019,17395.25,11768.24,4932.83,3472.22,11318.5,-4.11,511.62,0.74,4.85,10.52,4.67,BGC
Y/E 2020 31 Dec 2020,17948.91,11790.45,5109.05,3472.22,11025.31,5.27,516.41,0.74,4.69,10.29,5.3,BGC
Y/E 2021 31 Dec 2021,18707.7,13218.97,4384.8,3472.22,12476.38,27.02,523.4,0.75,4.46,11.03,4.8,BGC
9M/2022 30 Sep 2022,15597.61,10769.64,4478.32,3472.22,10550.94,40.12,421.46,0.61,3.73,11.44,4.17,BGC
Y/E 2018 31 Dec 2018,4159.38,786.7,3372.68,528.0,2998.29,193.0,330.19,6.25,9.92,9.79,11.01,CSC
Y/E 2019 31 Dec 2019,4366.91,725.65,3641.26,528.00,3350.91,-,348.98,6.71,9.88,9.95,10.41,CSC
Y/E 2020 31 Dec 2020,4514.10,822.13,3691.97,528.00,2900.53,-,258.43,4.97,7.12,7.05,8.91,CSC
Y/E 2021 31 Dec 2021,4512.33,755.05,3757.27,528.0,3055.33,-0.01,193.7,3.72,5.17,5.2,6.34,CSC
9M/2022 30 Sep 2022,4877.76,1004.34,3873.42,528.0,2898.71,0.02,206.44,3.97,6.03,6.21,7.12,CSC
Y/E 2018 31 Dec 2018,886.35,101.73,784.62,2325.38,394.02,44.74,-46.69,-0.02,-5.57,-6.43,-11.85,NEP
Y/E 2019 31 Dec 2019,810.91,79.68,731.23,2325.38,409.5,26.76,-52.15,-0.02,-5.97,-6.88,-12.74,NEP
Y/E 2020 31 Dec 2020,789.67,87.57,702.1,2325.38,367.26,43.64,-24.39,-0.01,-2.96,-3.4,-6.64,NEP
Y/E 2021 31 Dec 2021,784.8,122.77,662.02,2325.38,411.95,55.48,-44.42,-0.02,-5.55,-6.51,-10.78,NEP
9M/2022 30 Sep 2022,691.94,72.43,619.5,2325.38,248.25,20.67,-39.31,-0.02,-8.25,-9.6,-15.83,NEP
Y/E 2019 31 Mar 2019,15850.71,4240.52,11578.57,900.0,14813.76,450.29,2324.39,2.58,16.04,21.04,15.75,PTL
Y/E 2020 31 Mar 2020,17490.09,4568.37,12887.27,900.0,14124.7,-311.1,1803.08,2.0,12.76,14.74,12.79,PTL
Y/E 2021 31 Mar 2021,20029.33,4690.19,15277.15,900.0,15202.68,13.31,2970.0,3.3,17.62,21.09,19.55,PTL
Y/E 2022 31 Mar 2022,25561.88,7640.06,17827.25,900.0,21605.03,327.99,3549.79,3.94,18.15,21.45,16.5,PTL
6M/2023 30 Sep 2022,28994.1,8705.87,20161.21,900.0,14443.38,454.21,2070.27,2.3,18.59,22.16,14.56,PTL
Y/E 2019 31 Dec 2019,139513.05,76697.05,42952.05,3126.0,89783.61,180.2,5268.51,1.69,6.13,12.27,6.56,SCGP
Y/E 2020 31 Dec 2020,172428.88,62588.1,88737.82,4292.92,93388.33,-155.82,6457.48,1.95,6.26,9.81,7.82,SCGP
Y/E 2021 31 Dec 2021,206823.74,84523.8,96837.2,4292.92,126436.89,374.43,8294.37,1.93,6.8,8.94,7.63,SCGP
9M/2022 30 Sep 2022,208227.45,78981.42,101813.25,4292.92,113538.69,617.02,5351.19,1.25,5.77,7.58,5.63,SCGP
Y/E 2018 31 Dec 2018,923.98,478.74,445.24,300.0,1374.25,-0.17,136.11,0.27,20.02,30.57,9.9,SFLEX
Y/E 2019 31 Dec 2019,1400.46,570.63,829.83,410.0,1271.93,1.42,78.61,0.25,9.38,12.33,6.18,SFLEX
Y/E 2020 31 Dec 2020,1285.12,404.53,880.59,410.0,1413.4,1.63,142.8,0.17,13.05,16.7,10.1,SFLEX
Y/E 2021 31 Dec 2021,1506.57,546.27,960.30,410.00,1727.31,-,149.42,0.18,11.52,16.23,8.65,SFLEX
9M/2022 30 Sep 2022,1634.28,682.17,952.11,410.00,1264.70,-,21.81,0.03,3.66,5.38,1.72,SFLEX
Y/E 2018 31 Dec 2018,10239.13,5814.2,4172.79,2709.91,9767.63,48.96,76.07,0.03,2.23,1.8,0.87,SITHAI
Y/E 2019 31 Dec 2019,8472.24,4525.96,3695.94,2709.9,8913.43,16.56,-214.99,-0.08,-1.29,-5.46,-2.37,SITHAI
Y/E 2020 31 Dec 2020,7659.42,3866.31,3553.41,2709.91,6937.2,9.66,-91.83,-0.03,0.36,-2.53,-1.45,SITHAI
Y/E 2021 31 Dec 2021,8046.39,3903.54,3904.18,2709.9,7617.43,24.93,181.19,0.07,3.68,4.86,2.4,SITHAI
9M/2022 30 Sep 2022,8507.38,4037.09,4226.48,2709.91,7070.78,9.67,293.07,0.11,6.07,8.73,4.26,SITHAI
Y/E 2018 31 Dec 2018,1002.49,36.96,965.53,300.00,451.64,-,30.38,0.03,3.35,3.14,6.73,SLP
Y/E 2019 31 Dec 2019,947.66,38.41,909.25,300.00,386.65,-,-42.99,-0.04,-5.87,-4.59,-11.12,SLP
Y/E 2020 31 Dec 2020,1009.10,122.73,886.37,300.00,421.89,-,-21.76,-0.02,-1.63,-2.42,-5.16,SLP
Y/E 2021 31 Dec 2021,963.39,114.79,848.60,300.00,450.30,-,-37.84,-0.03,-2.42,-4.36,-8.40,SLP
9M/2022 30 Sep 2022,946.72,114.89,831.83,300.00,396.86,-,-16.77,-0.01,-2.67,-4.49,-4.22,SLP
Y/E 2018 31 Dec 2018,2704.84,943.05,1761.8,535.51,4668.84,27.81,558.42,1.05,27.55,33.94,11.96,SMPC
Y/E 2019 31 Dec 2019,2472.88,641.12,1831.77,535.51,3405.73,24.88,375.2,0.7,18.44,20.88,11.02,SMPC
Y/E 2020 31 Dec 2020,3220.30,1064.77,2155.53,535.51,4217.67,-,618.71,1.16,27.19,31.03,14.67,SMPC
Y/E 2021 31 Dec 2021,4331.10,1865.46,2465.63,535.51,4855.11,-,727.78,1.36,22.71,31.50,14.99,SMPC
9M/2022 30 Sep 2022,4332.56,1718.00,2614.56,535.51,4541.92,-,721.91,1.35,29.76,41.35,15.89,SMPC
Y/E 2018 31 Dec 2018,1242.03,800.53,441.5,300.0,1113.49,0.09,1.31,0.0,2.29,0.3,0.12,SPACK
Y/E 2019 31 Dec 2019,1211.16,764.10,447.05,300.00,1083.59,-,8.88,0.03,2.83,2.00,0.82,SPACK
Y/E 2020 31 Dec 2020,1253.53,727.09,526.44,300.00,1210.91,-,77.00,0.26,8.30,15.82,6.36,SPACK
Y/E 2021 31 Dec 2021,1428.32,832.52,595.80,300.00,1276.97,-,63.79,0.21,6.51,11.37,5.00,SPACK
9M/2022 30 Sep 2022,1583.82,988.47,595.34,300.00,1015.26,-,-0.46,0.00,2.27,2.73,-0.05,SPACK
Y/E 2018 31 Dec 2018,652.74,110.26,520.03,105.0,744.53,0.15,31.61,3.01,5.16,6.23,4.29,TCOAT
Y/E 2019 31 Dec 2019,634.03,82.45,527.88,105.0,776.63,0.01,7.29,0.69,1.45,1.39,1.08,TCOAT
Y/E 2020 31 Dec 2020,691.26,134.0,532.16,105.0,695.3,0.46,12.15,1.16,2.36,2.29,1.95,TCOAT
Y/E 2021 31 Dec 2021,652.71,99.55,527.1,105.0,722.73,1.65,4.39,0.42,1.1,0.83,0.74,TCOAT
9M/2022 30 Sep 2022,671.10,131.66,513.33,105.00,599.50,-,-7.99,-0.76,-1.75,-2.43,-1.33,TCOAT
Y/E 2018 31 Dec 2018,1741.51,1450.53,290.98,2047.50,1609.56,-,-104.33,-0.05,-4.09,-35.86,-6.48,TFI
Y/E 2019 31 Dec 2019,1358.85,1256.3,102.55,2047.5,948.1,11.93,-185.06,-0.09,-6.86,-94.05,-19.52,TFI
Y/E 2020 31 Dec 2020,3039.4,460.28,2579.12,14332.5,280.71,-17.78,26.39,0.01,6.39,1.97,9.4,TFI
Y/E 2021 31 Dec 2021,3192.78,479.63,2713.15,16826.22,310.83,-,-241.79,-0.02,-8.63,-9.14,-77.79,TFI
9M/2022 30 Sep 2022,3165.97,675.13,2490.84,16826.22,742.53,-,-222.30,-0.01,-9.77,-11.01,-29.94,TFI
Y/E 2018 31 Dec 2018,2064.31,399.40,1664.91,80.00,3086.47,-,258.39,3.23,14.66,16.29,8.37,THIP
Y/E 2019 31 Dec 2019,2206.69,398.37,1808.32,80.00,3058.80,-,244.52,3.06,13.34,14.08,7.99,THIP
Y/E 2020 31 Dec 2020,2511.52,497.39,2014.13,80.00,3210.34,-,347.81,4.35,17.17,18.20,10.83,THIP
Y/E 2021 31 Dec 2021,2956.96,643.47,2313.48,90.00,3797.09,-,382.82,4.25,16.90,17.69,10.08,THIP
9M/2022 30 Sep 2022,3056.67,574.79,2481.88,90.00,3317.23,-,327.02,3.63,18.89,19.79,9.86,THIP
Y/E 2018 31 Dec 2018,3126.03,275.25,2644.97,150.00,2065.83,-,335.99,2.24,11.97,13.20,16.86,TMD
Y/E 2019 31 Dec 2019,3161.29,280.40,2657.75,150.00,2095.85,-,329.56,2.20,12.97,12.43,16.64,TMD
Y/E 2020 31 Dec 2020,3357.77,250.00,2876.99,150.00,1758.92,-,316.48,2.11,12.32,11.44,18.90,TMD
Y/E 2021 31 Dec 2021,3569.80,294.23,3039.68,150.00,2294.60,-,370.04,2.47,13.59,12.51,16.75,TMD
9M/2022 30 Sep 2022,3535.22,276.77,3027.51,150.00,1794.88,-,245.16,1.63,11.70,10.87,13.94,TMD
Y/E 2018 31 Dec 2018,1426.53,182.2,1244.33,60.0,1673.37,3.23,94.83,15.81,7.45,7.81,5.67,TOPP
Y/E 2019 31 Dec 2019,1497.95,167.49,1330.46,60.0,1599.5,5.11,113.56,18.93,8.42,8.82,7.1,TOPP
Y/E 2020 31 Dec 2020,1703.33,279.74,1423.59,60.0,1600.18,4.41,130.92,21.82,9.05,9.51,8.18,TOPP
Y/E 2021 31 Dec 2021,1760.44,272.47,1487.97,60.0,1602.99,7.67,88.04,14.67,5.64,6.05,5.49,TOPP
9M/2022 30 Sep 2022,1813.38,264.74,1548.65,60.0,1312.66,4.83,76.18,12.7,5.69,6.02,5.8,TOPP
Y/E 2018 31 Dec 2018,4185.22,3112.62,1032.67,253.82,2584.7,-2.2,31.48,0.12,3.3,3.0,0.88,TPAC
Y/E 2019 31 Dec 2019,4386.67,2537.19,1744.37,326.55,3797.7,4.36,138.84,0.53,6.89,10.0,4.29,TPAC
Y/E 2020 31 Dec 2020,4723.46,2602.73,2061.68,326.55,4033.46,6.2,321.98,0.99,11.89,16.92,8.76,TPAC
Y/E 2021 31 Dec 2021,7126.88,4643.13,2133.33,326.55,5252.56,-3.16,152.94,0.47,8.85,7.29,3.34,TPAC
9M/2022 30 Sep 2022,8113.42,5307.8,2429.37,326.55,5305.75,18.24,212.41,0.65,7.11,12.56,4.42,TPAC
Y/E 2018 31 Dec 2018,5104.39,2593.44,2345.75,416.88,5011.02,-1.73,-146.18,-0.36,-2.71,-5.97,-3.28,TPBI
Y/E 2019 31 Dec 2019,4657.63,2304.4,2212.88,416.88,5324.83,39.54,-34.09,-0.08,-0.33,-1.5,-1.04,TPBI
Y/E 2020 31 Dec 2020,5014.21,2456.96,2413.13,416.88,5411.74,14.11,179.32,0.43,5.13,7.75,3.24,TPBI
Y/E 2021 31 Dec 2021,5351.56,2805.89,2369.82,416.88,5684.8,-13.92,38.85,0.09,1.66,1.62,0.47,TPBI
9M/2022 30 Sep 2022,5073.83,2413.4,2491.99,416.88,5126.24,5.21,142.96,0.34,4.69,6.94,2.59,TPBI
Y/E 2018 31 Dec 2018,1011.79,139.1,872.45,375.0,309.32,-7.81,5.61,0.15,0.91,0.67,1.82,TPP
Y/E 2019 31 Dec 2019,1042.36,141.68,900.43,375.0,333.88,-1.72,36.15,0.96,4.47,4.08,10.83,TPP
Y/E 2020 31 Dec 2020,1016.84,136.6,880.02,375.0,244.83,-12.05,-3.85,-0.1,-0.34,-0.43,-1.58,TPP
Y/E 2021 31 Dec 2021,1084.38,168.35,915.76,375.00,258.74,-,29.14,0.78,3.30,3.25,11.29,TPP
9M/2022 30 Sep 2022,1036.80,138.42,898.07,375.00,209.07,-,23.76,0.63,3.64,3.29,11.38,TPP
Y/E 2018 31 Dec 2018,1857.46,543.27,1315.88,450.0,5462.98,-0.64,105.55,0.23,7.67,8.13,1.93,2S
Y/E 2019 31 Dec 2019,1766.51,388.84,1379.55,450.0,5413.94,-10.24,133.38,0.3,9.38,9.9,2.46,2S
Y/E 2020 31 Dec 2020,2204.94,449.33,1757.48,450.0,5625.92,-20.78,410.17,0.91,24.78,26.15,7.29,2S
Y/E 2021 31 Dec 2021,2457.5,179.68,2279.26,500.0,6555.13,-21.7,737.52,1.47,39.74,36.54,11.26,2S
9M/2022 30 Sep 2022,2510.09,511.95,2000.44,550.0,5178.36,-30.31,-138.73,-0.26,-2.64,-4.19,-2.69,2S
Y/E 2018 31 Dec 2018,4125.03,2334.58,1780.38,480.1,6315.61,23.41,-86.18,-0.18,-1.32,-4.65,-1.37,AMC
Y/E 2019 31 Dec 2019,3398.6,1339.76,2059.72,480.1,5428.52,102.12,145.76,0.3,4.93,7.59,2.47,AMC
Y/E 2020 31 Dec 2020,3739.99,1545.33,2192.77,480.1,4977.89,-71.57,133.05,0.28,5.76,6.26,2.73,AMC
Y/E 2021 31 Dec 2021,4250.53,1174.34,3076.19,480.1,7802.03,218.93,940.35,1.96,29.06,35.69,12.2,AMC
9M/2022 30 Sep 2022,4239.03,1416.32,2822.71,480.1,4172.14,9.8,-89.89,-0.19,4.11,3.68,-2.15,AMC
Y/E 2018 31 Dec 2018,1959.34,43.43,1915.91,1132.50,2248.47,-,33.11,0.03,2.10,1.72,1.47,BSBM
Y/E 2019 31 Dec 2019,1954.24,68.38,1885.87,1132.50,2079.03,-,48.55,0.04,3.14,2.55,2.34,BSBM
Y/E 2020 31 Dec 2020,1958.51,43.43,1915.08,1121.18,1573.39,-,84.02,0.07,5.39,4.42,5.34,BSBM
Y/E 2021 31 Dec 2021,1969.74,83.45,1886.29,1121.18,1397.47,-,72.12,0.06,4.61,3.79,5.16,BSBM
9M/2022 30 Sep 2022,1917.54,41.07,1876.46,1121.18,895.33,-,12.59,0.01,1.20,0.97,1.41,BSBM
Y/E 2018 31 Dec 2018,5863.74,2046.99,2594.08,745.14,3268.78,-9.36,133.07,0.18,0.2,5.25,-3.68,CEN
Y/E 2019 31 Dec 2019,4168.71,2052.86,1580.47,745.14,2107.54,-536.22,-929.8,-1.25,-29.4,-44.55,-73.01,CEN
Y/E 2020 31 Dec 2020,2692.87,802.03,1597.65,745.14,1712.06,-2.66,5.84,0.01,-4.89,0.37,-10.95,CEN
Y/E 2021 31 Dec 2021,4004.73,836.4,2123.13,745.14,1378.84,523.93,348.52,0.47,14.23,18.73,27.06,CEN
9M/2022 30 Sep 2022,3787.84,667.47,1854.76,745.16,1068.56,-90.62,-112.85,-0.15,-7.81,-7.72,-19.75,CEN
Y/E 2019 31 Jul 2019,1358.07,30.47,1327.59,300.00,394.03,-,9.90,0.03,0.99,0.74,2.51,CITY
Y/E 2020 31 Jul 2020,1341.07,16.25,1324.81,300.00,277.85,-,-4.03,-0.01,-0.32,-0.30,-1.45,CITY
Y/E 2021 31 Jul 2021,1335.55,13.94,1321.61,300.00,203.02,-,-12.11,-0.04,-0.96,-0.92,-5.97,CITY
Y/E 2022 31 Jul 2022,1355.02,15.86,1339.16,300.00,132.04,-,-3.86,-0.01,-0.22,-0.29,-2.92,CITY
Q1/2023 31 Oct 2022,1355.02,16.61,1338.41,300.00,30.00,-,-7.55,-0.03,-0.57,-0.68,-25.15,CITY
Y/E 2018 31 Dec 2018,2153.84,1549.02,604.82,496.17,2678.61,0.63,-10.98,-0.02,1.3,-1.8,-0.41,CSP
Y/E 2019 31 Dec 2019,2306.39,1827.44,478.94,496.17,2762.72,22.45,-127.45,-0.25,-3.44,-23.52,-4.61,CSP
Y/E 2020 31 Dec 2020,2004.52,1441.27,563.25,496.17,2492.09,-2.16,84.3,0.17,5.86,16.18,3.38,CSP
Y/E 2021 31 Dec 2021,2227.26,1264.73,962.53,496.17,3023.09,-11.68,438.27,0.88,25.35,57.45,14.5,CSP
9M/2022 30 Sep 2022,2335.34,1540.37,794.97,496.17,2464.84,-21.35,-68.33,-0.14,1.02,-0.22,-2.77,CSP
Y/E 2018 31 Dec 2018,18824.36,5606.71,13217.66,96104.09,30073.86,106.0,-835.95,-0.06,-1.88,-6.13,-2.78,GJS
Y/E 2019 31 Dec 2019,15487.9,2193.66,13294.25,24467.65,13052.04,215.93,-1352.57,-0.06,-5.86,-10.2,-10.36,GJS
Y/E 2020 31 Dec 2020,14857.41,2196.89,12660.52,24467.65,11478.54,38.13,-605.26,-0.02,-2.33,-4.66,-5.27,GJS
Y/E 2021 31 Dec 2021,16622.23,783.53,15838.7,24467.65,18467.84,169.13,3178.18,0.12,21.09,22.3,17.21,GJS
9M/2022 30 Sep 2022,17340.18,812.43,16527.75,24467.65,14132.03,-19.1,689.05,0.03,10.1,10.49,4.88,GJS
Y/E 2018 31 Dec 2018,30632.44,20531.92,172.42,34250.9,30144.3,197.03,-1662.47,-0.24,-4.0,-154.97,-7.82,GSTEEL
Y/E 2019 31 Dec 2019,26400.46,9218.54,7013.6,144643.83,17621.29,5535.55,2646.25,0.31,9.11,73.65,8.27,GSTEEL
Y/E 2020 31 Dec 2020,25460.41,9526.48,6339.49,144643.83,21207.18,76.22,-654.66,-0.02,-1.27,-9.81,-5.67,GSTEEL
Y/E 2021 31 Dec 2021,12339.53,6560.61,5778.92,144643.83,15865.72,-325.64,1325.12,0.05,10.1,21.87,8.35,GSTEEL
9M/2022 30 Sep 2022,11750.06,6821.41,4928.65,144643.83,12490.36,-544.7,-561.38,-0.02,-9.95,-4.02,-4.49,GSTEEL
Y/E 2018 31 Dec 2018,12842.99,3392.0,9450.99,7795.71,16206.59,52.96,562.45,0.07,5.64,6.07,3.47,INOX
Y/E 2019 31 Dec 2019,11636.82,2682.37,8954.46,7795.71,14479.74,72.46,-36.66,0.0,-0.41,-0.4,-0.25,INOX
Y/E 2020 31 Dec 2020,10906.26,1979.37,8926.89,7795.71,13194.65,23.46,-17.43,0.0,-0.22,-0.19,-0.13,INOX
Y/E 2021 31 Dec 2021,13842.11,4016.6,9825.52,7795.71,19150.56,92.52,885.58,0.11,8.96,9.45,4.62,INOX
9M/2022 30 Sep 2022,13546.12,3982.04,9564.08,7795.71,18657.93,-95.89,572.7,0.07,7.62,8.58,3.07,INOX
Y/E 2019 31 Mar 2019,2345.53,679.12,1445.61,383.0,3319.23,2.14,143.59,0.37,10.86,9.85,6.05,LHK
Y/E 2020 31 Mar 2020,2118.54,483.41,1416.93,383.0,2775.93,1.95,86.95,0.23,7.23,6.08,4.84,LHK
Y/E 2021 31 Mar 2021,2093.21,461.12,1434.42,383.0,2247.54,1.34,101.36,0.26,7.7,7.11,5.92,LHK
Y/E 2022 31 Mar 2022,2319.01,657.89,1503.22,383.0,2790.68,1.83,211.69,0.55,14.56,14.41,9.1,LHK
6M/2023 30 Sep 2022,2100.57,556.81,1390.37,383.0,1376.12,0.97,59.49,0.16,13.06,12.44,5.81,LHK
Y/E 2018 31 Dec 2018,4033.82,1064.38,2913.78,500.0,3292.05,-23.83,416.93,0.91,11.59,15.29,12.77,MCS
Y/E 2019 31 Dec 2019,5096.49,2041.32,2988.58,500.0,3350.82,7.06,608.54,1.28,14.27,20.62,18.49,MCS
Y/E 2020 31 Dec 2020,5993.07,2210.69,3684.71,477.0,4283.88,-47.01,954.08,2.0,20.25,28.59,23.09,MCS
Y/E 2021 31 Dec 2021,6211.11,1587.5,4467.3,477.0,6943.91,-28.99,1415.77,2.97,26.87,34.73,21.02,MCS
9M/2022 30 Sep 2022,6052.75,1951.83,3916.91,477.0,2921.53,16.0,125.48,0.26,9.01,11.34,4.57,MCS
Y/E 2018 31 Dec 2018,23589.34,18272.51,5374.83,1810.11,20452.53,958.14,-396.9,-0.1,1.74,-7.04,-2.01,MILL
Y/E 2019 31 Dec 2019,22082.01,16339.08,5785.21,1810.11,17418.32,231.15,-25.37,-0.01,3.14,-0.45,-0.07,MILL
Y/E 2020 31 Dec 2020,19277.18,13287.59,5954.21,1810.11,11517.49,41.82,-191.24,-0.04,1.12,-3.26,-1.46,MILL
Y/E 2021 31 Dec 2021,19271.05,12928.91,6304.16,1851.89,15694.87,244.62,376.36,0.08,4.64,6.14,2.41,MILL
9M/2022 30 Sep 2022,19746.85,12897.83,6808.51,2221.88,14223.18,186.41,182.71,0.04,3.79,3.29,1.3,MILL
Y/E 2018 31 Dec 2018,4914.76,2494.28,2420.48,660.0,9935.22,7.47,94.0,0.14,3.56,3.76,0.95,PAP
Y/E 2019 31 Dec 2019,4390.37,1931.42,2458.94,660.0,9334.74,2.2,71.52,0.11,3.17,2.93,0.77,PAP
Y/E 2020 31 Dec 2020,4540.49,2049.81,2490.68,660.0,7382.5,3.94,203.01,0.31,6.53,8.2,2.75,PAP
Y/E 2021 31 Dec 2021,5420.17,2493.6,2926.57,660.0,9716.61,-9.41,554.69,0.84,14.68,20.48,5.71,PAP
9M/2022 30 Sep 2022,4133.14,2050.75,2082.39,660.00,7786.73,-,-289.79,-0.44,-6.22,-12.57,-3.72,PAP
Y/E 2018 31 Dec 2018,4251.14,3276.77,974.37,500.0,4785.96,42.19,-51.83,-0.1,0.95,-5.08,-1.08,PERM
Y/E 2019 31 Dec 2019,3750.51,2639.79,1072.14,750.0,4410.43,77.57,-148.55,-0.24,-0.79,-14.52,-3.38,PERM
Y/E 2020 31 Dec 2020,2747.92,1611.01,1100.36,750.0,4129.13,39.62,28.22,0.04,4.02,2.6,0.63,PERM
Y/E 2021 31 Dec 2021,4774.16,3114.22,1626.13,750.01,6486.46,-53.15,528.49,0.7,16.28,38.77,8.11,PERM
9M/2022 30 Sep 2022,4725.35,3495.65,1184.78,766.66,4251.78,-128.49,-380.68,-0.5,-3.72,-18.18,-9.15,PERM
Y/E 2018 31 Dec 2018,3734.61,1834.31,1900.3,1045.13,3224.68,2.3,-98.76,-0.09,-2.0,-5.06,-3.06,SAM
Y/E 2019 31 Dec 2019,3791.04,2083.44,1707.6,1045.13,3694.14,-2.41,-186.07,-0.18,-3.83,-10.31,-5.04,SAM
Y/E 2020 31 Dec 2020,3601.58,1956.56,1645.03,1045.13,3416.94,-0.81,-64.19,-0.06,-0.04,-3.83,-1.88,SAM
Y/E 2021 31 Dec 2021,3673.88,1858.93,1814.95,1045.13,4132.46,6.82,161.14,0.15,6.07,9.31,3.9,SAM
9M/2022 30 Sep 2022,3893.71,1988.12,1905.59,1045.13,3440.42,-10.43,81.17,0.08,3.68,5.85,2.36,SAM
Y/E 2018 31 Dec 2018,2611.14,349.26,2261.88,530.0,2339.17,6.67,263.48,0.5,12.56,11.84,11.26,SMIT
Y/E 2019 31 Dec 2019,2491.76,233.17,2258.59,530.0,2036.41,8.05,182.21,0.34,8.9,8.06,8.95,SMIT
Y/E 2020 31 Dec 2020,2589.64,271.22,2318.42,530.0,1686.67,-0.88,147.32,0.28,6.91,6.44,8.73,SMIT
Y/E 2021 31 Dec 2021,2867.17,377.44,2489.73,530.00,2078.53,-,290.53,0.55,12.98,12.08,13.98,SMIT
9M/2022 30 Sep 2022,2906.85,401.58,2505.27,530.00,1725.10,-,206.60,0.39,12.17,11.26,11.98,SMIT
Y/E 2018 31 Dec 2018,3927.42,1066.57,2858.07,640.0,4940.21,6.88,167.66,0.26,5.85,5.93,3.38,SSSC
Y/E 2019 31 Dec 2019,3591.92,717.88,2871.26,640.0,4390.78,6.74,118.72,0.19,4.36,4.14,2.7,SSSC
Y/E 2020 31 Dec 2020,3298.13,453.99,2841.34,640.0,3479.59,-0.3,75.43,0.12,2.9,2.64,2.17,SSSC
Y/E 2021 31 Dec 2021,4236.67,1223.04,3011.26,640.0,4706.71,-0.57,235.06,0.37,8.02,8.03,4.98,SSSC
9M/2022 30 Sep 2022,4407.92,1348.74,3057.94,640.0,4191.97,0.53,195.67,0.31,7.69,8.51,4.65,SSSC
Y/E 2018 31 Dec 2018,3435.51,1169.45,2266.41,2359.73,1673.38,0.23,1.17,0.0,0.97,0.05,0.06,TGPRO
Y/E 2019 31 Dec 2019,3206.42,1111.97,2094.84,2359.73,1505.80,-,-171.58,-0.04,-4.28,-7.87,-11.40,TGPRO
Y/E 2020 31 Dec 2020,3264.72,1224.0,2041.23,2359.73,1585.08,0.02,-58.37,-0.01,-0.49,-2.82,-3.69,TGPRO
Y/E 2021 31 Dec 2021,3349.52,1224.63,2125.52,2359.73,1783.78,-,84.29,0.02,3.67,4.05,4.72,TGPRO
9M/2022 30 Sep 2022,3456.17,1283.85,2173.05,2359.73,1459.48,-,47.53,0.01,3.31,3.48,3.25,TGPRO
Y/E 2018 31 Dec 2018,5100.69,3433.02,1657.43,551.03,11293.26,23.82,-100.22,-0.09,-0.68,-5.7,-0.89,THE
Y/E 2019 31 Dec 2019,5324.63,3533.68,1783.81,551.03,10289.96,207.72,215.51,0.2,6.12,12.52,2.06,THE
